省属,府直隶州,州县,清真寺名称,,,,,
甘肃,西宁府,大通县,新庄镇唐家清真寺,,,,,
甘肃,西宁府,大通县,长宁镇甘沟门清真寺,,,,,
甘肃,西宁府,大通县,景阳镇岗冲清真寺,,,,,
甘肃,西宁府,大通县,极乐乡后庄清真寺,,,,,
甘肃,西宁府,大通县,极乐乡深沟清真寺,,,,,
甘肃,西宁府,大通县,良教乡白崖清真寺,,,,,
甘肃,西宁府,大通县,良教乡上沙布清真寺,,,,,
甘肃,西宁府,大通县,良教乡上治泉清真寺,,,,,
甘肃,西宁府,大通县,良教乡下沙布清真寺,,,,,
甘肃,西宁府,大通县,良教乡良教沟清真寺,,,,,
甘肃,西宁府,大通县,良教乡松林清真寺,,,,,
甘肃,西宁府,大通县,良教乡煤洞沟清真寺,,,,,
甘肃,西宁府,大通县,良教乡桥尔沟清真寺,,,,,
甘肃,西宁府,大通县,良教乡下甘沟清真寺,,,,,
甘肃,西宁府,大通县,桦林乡七棵树清真寺,,,,,
甘肃,西宁府,大通县,桦林乡石板坡清真寺,,,,,
甘肃,西宁府,大通县,桦林乡冶家庄清真寺,,,,,
甘肃,西宁府,大通县,桦林乡俄博沟清真寺,,,,,
甘肃,西宁府,大通县,桦林乡贲哇沟清真寺,,,,,
甘肃,西宁府,大通县,石山乡红垭豁清真寺,,,,,
甘肃,西宁府,大通县,石山乡杂户清真寺,,,,,
甘肃,西宁府,大通县,石山乡后沟清真寺,,,,,
甘肃,西宁府,大通县,石山乡铧尖清真寺,,,,,
甘肃,西宁府,大通县,石山乡石板滩清真寺,,,,,
甘肃,西宁府,大通县,石山乡西坡清真寺,,,,,
甘肃,西宁府,大通县,石山乡上丰积清真寺,,,,,
